"value","value href","value 2","value href 2","value 3","value 4","value 5","value 6","value 7","greyText","value 8","value 9","value 10","value 11","staticStar","value 12","value href 3","value 13","value href 4","value 14","greyText 4","greyText 5","value 15","value 16","date_read_value","darkGreyText","value href 5","value src"
"The Atlas Complex","https://www.goodreads.com/book/show/63104676-the-atlas-complex","Blake, Olivie","https://www.goodreads.com/author/show/16225393.Olivie_Blake","*","1529095352","9781529095357","1529095352","496","pp","2.83","35,210","Jan 09, 2024","Jan 09, 2024","did not like it","0","https://www.goodreads.com/review/show/5648755420","0","https://www.goodreads.com/rating/voters/5648755420?resource_type=Review","1","","","Jun 27, 2023","Hardcover","Feb 09, 2024","(The Atlas, #3)","https://www.goodreads.com/book/show/63104676-the-atlas-complex","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675187027l/63104676._SY75_.jpg"
"Dragon Bones","https://www.goodreads.com/book/show/35297553-dragon-bones","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1481456849","9781481456845","1481456849","416","pp","4.23","3,074","Feb 06, 2018","Feb 06, 2018","","0","https://www.goodreads.com/review/show/5648284379","0","https://www.goodreads.com/rating/voters/5648284379?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2018","(The Unwanteds Quests #2)","https://www.goodreads.com/book/show/35297553-dragon-bones","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497083829l/35297553._SY75_.jpg"
"Dragon Captives","https://www.goodreads.com/book/show/30312806-dragon-captives","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1481456814","9781481456814","1481456814","432","pp","4.12","4,981","Feb 07, 2017","Feb 07, 2017","","0","https://www.goodreads.com/review/show/5648284191","0","https://www.goodreads.com/rating/voters/5648284191?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2017","(The Unwanteds Quests, #1)","https://www.goodreads.com/book/show/30312806-dragon-captives","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480167004l/30312806._SY75_.jpg"
"Island of Dragons","https://www.goodreads.com/book/show/23497890-island-of-dragons","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1442493372","9781442493377","1442493372","544","pp","4.45","9,112","Apr 12, 2016","Apr 12, 2016","","0","https://www.goodreads.com/review/show/5648283927","0","https://www.goodreads.com/rating/voters/5648283927?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(Unwanteds, #7)","https://www.goodreads.com/book/show/23497890-island-of-dragons","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458126536l/23497890._SY75_.jpg"
"Island of Fire","https://www.goodreads.com/book/show/17063691-island-of-fire","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1442458453","9781442458451","1442458453","464","pp","4.37","16,698","Sep 03, 2013","Sep 03, 2013","","0","https://www.goodreads.com/review/show/5648283668","0","https://www.goodreads.com/rating/voters/5648283668?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(Unwanteds, #3)","https://www.goodreads.com/book/show/17063691-island-of-fire","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356040226l/17063691._SY75_.jpg"
"Island of Graves","https://www.goodreads.com/book/show/23497854-island-of-graves","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1442493364","9781442493360","1442493364","528","pp","4.44","10,341","Sep 15, 2015","Sep 15, 2015","","0","https://www.goodreads.com/review/show/5648283474","0","https://www.goodreads.com/rating/voters/5648283474?resource_type=Review","1","not set","","Jun 27, 2023","ebook","Dec 27, 2016","(Unwanteds, #6)","https://www.goodreads.com/book/show/23497854-island-of-graves","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419107766l/23497854._SY75_.jpg"
"Island of Shipwrecks","https://www.goodreads.com/book/show/22546129-island-of-shipwrecks","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1442493313","9781442493315","1442493313","464","pp","4.37","11,039","Feb 03, 2015","Feb 03, 2015","","0","https://www.goodreads.com/review/show/5648283327","0","https://www.goodreads.com/rating/voters/5648283327?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(Unwanteds, #5)","https://www.goodreads.com/book/show/22546129-island-of-shipwrecks","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403824756l/22546129._SY75_.jpg"
"Island of Silence","https://www.goodreads.com/book/show/13406329-island-of-silence","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1442407719","9781442407718","1442407719","416","pp","4.29","20,226","Sep 04, 2012","Sep 04, 2012","","0","https://www.goodreads.com/review/show/5648283077","0","https://www.goodreads.com/rating/voters/5648283077?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(Unwanteds, #2)","https://www.goodreads.com/book/show/13406329-island-of-silence","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345888183l/13406329._SY75_.jpg"
"The Unwanteds","https://www.goodreads.com/book/show/9917879-the-unwanteds","McMann, Lisa","https://www.goodreads.com/author/show/767547.Lisa_McMann","*","1442407689","9781442407688","1442407689","390","pp","4.11","47,833","Aug 30, 2011","Aug 30, 2011","","0","https://www.goodreads.com/review/show/5648282859","0","https://www.goodreads.com/rating/voters/5648282859?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(Unwanteds, #1)","https://www.goodreads.com/book/show/9917879-the-unwanteds","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308432658l/9917879._SY75_.jpg"
"Crossed","https://www.goodreads.com/book/show/15812814-crossed","Condie, Ally","https://www.goodreads.com/author/show/1304470.Ally_Condie","*","0142421715","9780142421710","0142421715","367","pp","3.52","262,299","Nov 01, 2011","Mar 12, 2013","","0","https://www.goodreads.com/review/show/5648281969","0","https://www.goodreads.com/rating/voters/5648281969?resource_type=Review","1","not set","","Jun 27, 2023","Paperback","Dec 27, 2016","(Matched, #2)","https://www.goodreads.com/book/show/15812814-crossed","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374335939l/15812814._SY75_.jpg"
"Reached","https://www.goodreads.com/book/show/13125947-reached","Condie, Ally","https://www.goodreads.com/author/show/1304470.Ally_Condie","*","0525423664","9780525423669","0525423664","512","pp","3.54","180,241","Nov 13, 2012","Nov 13, 2012","","0","https://www.goodreads.com/review/show/5648281734","0","https://www.goodreads.com/rating/voters/5648281734?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(Matched, #3)","https://www.goodreads.com/book/show/13125947-reached","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330717582l/13125947._SY75_.jpg"
"Allegiant","https://www.goodreads.com/book/show/18710190-allegiant","Roth, Veronica","https://www.goodreads.com/author/show/4039811.Veronica_Roth","*","0007524277","9780007524273","0007524277","531","pp","3.60","1,166,784","Oct 22, 2013","Oct 22, 2013","","0","https://www.goodreads.com/review/show/5648281131","0","https://www.goodreads.com/rating/voters/5648281131?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2015","(Divergent, #3)","https://www.goodreads.com/book/show/18710190-allegiant","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395582745l/18710190._SY75_.jpg"
"Insurgent","https://www.goodreads.com/book/show/11735983-insurgent","Roth, Veronica","https://www.goodreads.com/author/show/4039811.Veronica_Roth","*","0007442912","9780007442911","0007442912","525","pp","3.96","1,657,074","May 01, 2012","May 01, 2012","","0","https://www.goodreads.com/review/show/5648280950","0","https://www.goodreads.com/rating/voters/5648280950?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2015","(Divergent, #2)","https://www.goodreads.com/book/show/11735983-insurgent","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340l/11735983._SY75_.jpg"
"Unravel the Dusk","https://www.goodreads.com/book/show/36683940-unravel-the-dusk","Lim, Elizabeth","https://www.goodreads.com/author/show/6926374.Elizabeth_Lim","*","0525647023","9780525647027","0525647023","355","pp","3.76","29,301","Jul 07, 2020","Jul 07, 2020","","0","https://www.goodreads.com/review/show/5648279380","0","https://www.goodreads.com/rating/voters/5648279380?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2020","(The Blood of Stars, #2)","https://www.goodreads.com/book/show/36683940-unravel-the-dusk","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673729065l/36683940._SY75_.jpg"
"Spin the Dawn","https://www.goodreads.com/book/show/42815556-spin-the-dawn","Lim, Elizabeth","https://www.goodreads.com/author/show/6926374.Elizabeth_Lim","*","","","B0FSKDH6FJ","392","pp","3.97","66,443","Jul 09, 2019","Jul 09, 2019","","0","https://www.goodreads.com/review/show/5648278886","0","https://www.goodreads.com/rating/voters/5648278886?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(The Blood of Stars, #1)","https://www.goodreads.com/book/show/42815556-spin-the-dawn","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542674036l/42815556._SY75_.jpg"
"Beast of the Night","https://www.goodreads.com/book/show/53202576-beast-of-the-night","Rawls, E.E.","https://www.goodreads.com/author/show/18612120.E_E_Rawls","","","","B0877CVNLT","136","pp","4.00","50","","Jun 11, 2020","","0","https://www.goodreads.com/review/show/5648278457","0","https://www.goodreads.com/rating/voters/5648278457?resource_type=Review","1","unknown","not set","Jun 27, 2023","Kindle Edition","Dec 27, 2020","(A Fairy Tale Retelling #1)","https://www.goodreads.com/book/show/53202576-beast-of-the-night","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587255183l/53202576._SY75_.jpg"
"A Dress for the Wicked","https://www.goodreads.com/book/show/40220881-a-dress-for-the-wicked","Krause, Autumn","https://www.goodreads.com/author/show/18061797.Autumn_Krause","*","0062857355","9780062857354","B07D2CNVVW","387","pp","3.61","2,355","Aug 06, 2019","Aug 06, 2019","","0","https://www.goodreads.com/review/show/5648277757","0","https://www.goodreads.com/rating/voters/5648277757?resource_type=Review","1","not set","","Jun 27, 2023","Kindle Edition","Dec 27, 2019","","https://www.goodreads.com/book/show/40220881-a-dress-for-the-wicked","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539644070l/40220881._SY75_.jpg"
"The Similars","https://www.goodreads.com/book/show/39109661-the-similars","Hanover, Rebecca","https://www.goodreads.com/author/show/17800459.Rebecca_Hanover","*","149266510X","9781492665106","149266510X","386","pp","3.84","8,772","Jan 01, 2019","Jan 01, 2019","","0","https://www.goodreads.com/review/show/5648277023","0","https://www.goodreads.com/rating/voters/5648277023?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(The Similars, #1)","https://www.goodreads.com/book/show/39109661-the-similars","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526584664l/39109661._SX50_.jpg"
"Gravemaidens","https://www.goodreads.com/book/show/44291755-gravemaidens","Coon, Kelly","https://www.goodreads.com/author/show/17352433.Kelly_Coon","*","0525647821","9780525647829","0525647821","416","pp","3.44","2,257","Oct 29, 2019","Oct 29, 2019","","0","https://www.goodreads.com/review/show/5648276639","0","https://www.goodreads.com/rating/voters/5648276639?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(Gravemaidens, #1)","https://www.goodreads.com/book/show/44291755-gravemaidens","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552357109l/44291755._SY75_.jpg"
"Crier's War","https://www.goodreads.com/book/show/41951626-crier-s-war","Varela, Nina","https://www.goodreads.com/author/show/18450258.Nina_Varela","*","0062823965","9780062823960","0062823965","464","pp","4.08","56,238","Oct 01, 2019","Oct 01, 2019","","0","https://www.goodreads.com/review/show/5648276259","0","https://www.goodreads.com/rating/voters/5648276259?resource_type=Review","1","not set","","Jun 27, 2023","ebook","Dec 27, 2019","(Crier's War, #1)","https://www.goodreads.com/book/show/41951626-crier-s-war","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553803423l/41951626._SY75_.jpg"
"Castles in Their Bones","https://www.goodreads.com/book/show/57631700-castles-in-their-bones","Sebastian, Laura","https://www.goodreads.com/author/show/15945524.Laura_Sebastian","*","0593118162","9780593118160","0593118162","514","pp","4.04","7,399","Feb 01, 2022","Feb 01, 2022","","0","https://www.goodreads.com/review/show/5648275912","0","https://www.goodreads.com/rating/voters/5648275912?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Feb 27, 2022","(Castles in Their Bones, #1)","https://www.goodreads.com/book/show/57631700-castles-in-their-bones","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1635250535l/57631700._SY75_.jpg"
"The Queen of Nothing","https://www.goodreads.com/book/show/26032912-the-queen-of-nothing","Black, Holly","https://www.goodreads.com/author/show/25422.Holly_Black","*","0316310409","9780316310406","0316310409","321","pp","4.33","1,047,026","Nov 19, 2019","Nov 19, 2019","","0","https://www.goodreads.com/review/show/5648275282","0","https://www.goodreads.com/rating/voters/5648275282?resource_type=Review","1","not set","","Jun 27, 2023","ebook","Dec 27, 2019","(The Folk of the Air, #3)","https://www.goodreads.com/book/show/26032912-the-queen-of-nothing","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553624975l/26032912._SX50_.jpg"
"The Wicked King","https://www.goodreads.com/book/show/26032887-the-wicked-king","Black, Holly","https://www.goodreads.com/author/show/25422.Holly_Black","*","0316310336","9780316310338","0316310336","336","pp","4.27","1,161,027","Jan 08, 2019","Jan 08, 2019","","0","https://www.goodreads.com/review/show/5648274899","0","https://www.goodreads.com/rating/voters/5648274899?resource_type=Review","1","not set","","Jun 27, 2023","ebook","Dec 27, 2019","(The Folk of the Air, #2)","https://www.goodreads.com/book/show/26032887-the-wicked-king","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520620414l/26032887._SY75_.jpg"
"The Damned","https://www.goodreads.com/book/show/53131137-the-damned","Ahdieh, Renee","https://www.goodreads.com/author/show/4600197.Ren_e_Ahdieh","*","1984812580","9781984812582","1984812580","401","pp","3.74","14,916","Jul 07, 2020","Jul 07, 2020","liked it","0","https://www.goodreads.com/review/show/5648274233","0","https://www.goodreads.com/rating/voters/5648274233?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2020","(The Beautiful, #2)","https://www.goodreads.com/book/show/53131137-the-damned","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570224902l/53131137._SY75_.jpg"
"A ​Sky Beyond the Storm","https://www.goodreads.com/book/show/31520883-a-sky-beyond-the-storm","Tahir, Sabaa","https://www.goodreads.com/author/show/7770873.Sabaa_Tahir","*","000828881X","9780008288815","000828881X","516","pp","4.27","90,167","Dec 01, 2020","Aug 01, 2021","","0","https://www.goodreads.com/review/show/5648273530","0","https://www.goodreads.com/rating/voters/5648273530?resource_type=Review","1","not set","","Jun 27, 2023","Paperback","Dec 27, 2021","(An Ember in the Ashes, #4)","https://www.goodreads.com/book/show/31520883-a-sky-beyond-the-storm","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583169878l/31520883._SY75_.jpg"
"A Reaper at the Gates","https://www.goodreads.com/book/show/30809786-a-reaper-at-the-gates","Tahir, Sabaa","https://www.goodreads.com/author/show/7770873.Sabaa_Tahir","*","0448494507","9780448494500","0448494507","458","pp","4.12","128,719","Jun 12, 2018","Jun 12, 2018","","0","https://www.goodreads.com/review/show/5648273132","0","https://www.goodreads.com/rating/voters/5648273132?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2018","(An Ember in the Ashes, #3)","https://www.goodreads.com/book/show/30809786-a-reaper-at-the-gates","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507476834l/30809786._SY75_.jpg"
"A Torch Against the Night","https://www.goodreads.com/book/show/25558608-a-torch-against-the-night","Tahir, Sabaa","https://www.goodreads.com/author/show/7770873.Sabaa_Tahir","*","","9780008250447","0008250448","464","pp","4.21","208,513","Aug 30, 2016","Aug 30, 2016","","0","https://www.goodreads.com/review/show/5648272926","0","https://www.goodreads.com/rating/voters/5648272926?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2018","(An Ember in the Ashes, #2)","https://www.goodreads.com/book/show/25558608-a-torch-against-the-night","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463675717l/25558608._SY75_.jpg"
"An Ember in the Ashes","https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes","Tahir, Sabaa","https://www.goodreads.com/author/show/7770873.Sabaa_Tahir","*","","","B0DT18DCCK","446","pp","4.23","363,913","Apr 28, 2015","Feb 09, 2016","","0","https://www.goodreads.com/review/show/5648272687","0","https://www.goodreads.com/rating/voters/5648272687?resource_type=Review","1","not set","","Jun 27, 2023","Paperback","Dec 27, 2018","(An Ember in the Ashes, #1)","https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1787853834l/27774758._SY75_.jpg"
"Nevernight","https://www.goodreads.com/book/show/26114463-nevernight","Kristoff, Jay","https://www.goodreads.com/author/show/4735144.Jay_Kristoff","*","1250073022","9781250073020","1250073022","427","pp","4.22","120,873","Aug 09, 2016","Aug 09, 2016","","0","https://www.goodreads.com/review/show/5648272306","0","https://www.goodreads.com/rating/voters/5648272306?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2016","(The Nevernight Chronicle, #1)","https://www.goodreads.com/book/show/26114463-nevernight","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500688832l/26114463._SY75_.jpg"
"The Kiss Quotient","https://www.goodreads.com/book/show/36199084-the-kiss-quotient","Hoang, Helen","https://www.goodreads.com/author/show/17147855.Helen_Hoang","*","0451490819","","B075HXST4P","333","pp","3.86","514,133","Jun 05, 2018","Jun 05, 2018","","0","https://www.goodreads.com/review/show/5648272063","0","https://www.goodreads.com/rating/voters/5648272063?resource_type=Review","1","not set","","Jun 27, 2023","Kindle Edition","Dec 27, 2020","(The Kiss Quotient, #1)","https://www.goodreads.com/book/show/36199084-the-kiss-quotient","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688188444l/36199084._SY75_.jpg"
"Tokyo Ever After","https://www.goodreads.com/book/show/54860605-tokyo-ever-after","Jean, Emiko","https://www.goodreads.com/author/show/8178238.Emiko_Jean","*","","","","336","pp","3.87","52,655","May 18, 2021","May 18, 2021","","0","https://www.goodreads.com/review/show/5648270819","0","https://www.goodreads.com/rating/voters/5648270819?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2020","(Tokyo Ever After, #1)","https://www.goodreads.com/book/show/54860605-tokyo-ever-after","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601695675l/54860605._SY75_.jpg"
"Requiem","https://www.goodreads.com/book/show/9593913-requiem","Oliver, Lauren","https://www.goodreads.com/author/show/2936493.Lauren_Oliver","*","0062014536","9780062014535","0062014536","391","pp","3.73","156,391","Mar 05, 2013","Mar 05, 2013","","0","https://www.goodreads.com/review/show/5648270319","0","https://www.goodreads.com/rating/voters/5648270319?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2015","(Delirium, #3)","https://www.goodreads.com/book/show/9593913-requiem","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340992438l/9593913._SY75_.jpg"
"Pandemonium","https://www.goodreads.com/book/show/9593911-pandemonium","Oliver, Lauren","https://www.goodreads.com/author/show/2936493.Lauren_Oliver","*","006197806X","9780061978067","006197806X","375","pp","4.02","247,459","Feb 28, 2012","Feb 28, 2012","","0","https://www.goodreads.com/review/show/5648269873","0","https://www.goodreads.com/rating/voters/5648269873?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2015","(Delirium, #2)","https://www.goodreads.com/book/show/9593911-pandemonium","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310371414l/9593911._SY75_.jpg"
"Delirium","https://www.goodreads.com/book/show/11614718-delirium","Oliver, Lauren","https://www.goodreads.com/author/show/2936493.Lauren_Oliver","*","0061726834","9780061726835","0061726834","441","pp","3.95","482,318","Feb 03, 2011","Feb 07, 2012","","0","https://www.goodreads.com/review/show/5648269764","0","https://www.goodreads.com/rating/voters/5648269764?resource_type=Review","1","not set","","Jun 27, 2023","Paperback","Dec 27, 2015","(Delirium, #1)","https://www.goodreads.com/book/show/11614718-delirium","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327890411l/11614718._SX50_.jpg"
"Nightblood","https://www.goodreads.com/book/show/36139392-nightblood","Blake, Elly","https://www.goodreads.com/author/show/14674797.Elly_Blake","*","0316273341","9780316273343","0316273341","440","pp","4.02","12,329","Aug 21, 2018","Aug 21, 2018","","0","https://www.goodreads.com/review/show/5648269155","0","https://www.goodreads.com/rating/voters/5648269155?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(Frostblood Saga, #3)","https://www.goodreads.com/book/show/36139392-nightblood","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503966424l/36139392._SY75_.jpg"
"Fireblood","https://www.goodreads.com/book/show/33784283-fireblood","Blake, Elly","https://www.goodreads.com/author/show/14674797.Elly_Blake","*","0316273325","9780316273329","0316273325","416","pp","4.04","17,482","Sep 12, 2017","Sep 12, 2017","","0","https://www.goodreads.com/review/show/5648269010","0","https://www.goodreads.com/rating/voters/5648269010?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(Frostblood Saga, #2)","https://www.goodreads.com/book/show/33784283-fireblood","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484522604l/33784283._SY75_.jpg"
"Frostblood","https://www.goodreads.com/book/show/27827203-frostblood","Blake, Elly","https://www.goodreads.com/author/show/14674797.Elly_Blake","*","0316273252","9780316273251","0316273252","376","pp","3.82","38,957","Jan 10, 2017","Jan 10, 2017","","0","https://www.goodreads.com/review/show/5648268870","0","https://www.goodreads.com/rating/voters/5648268870?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(Frostblood Saga, #1)","https://www.goodreads.com/book/show/27827203-frostblood","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471381624l/27827203._SY75_.jpg"
"Bonded Fate","https://www.goodreads.com/book/show/55283560-bonded-fate","Michaels, Beck","https://www.goodreads.com/author/show/20116344.Beck_Michaels","*","1734763957","9781734763959","1734763957","531","pp","4.28","2,606","","Aug 03, 2021","liked it","0","https://www.goodreads.com/review/show/5648268367","0","https://www.goodreads.com/rating/voters/5648268367?resource_type=Review","1","unknown","not set","Jun 27, 2023","ebook","Dec 27, 2021","(Guardians of the Maiden, #2)","https://www.goodreads.com/book/show/55283560-bonded-fate","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610723265l/55283560._SY75_.jpg"
"Divine Blood","https://www.goodreads.com/book/show/52870746-divine-blood","Michaels, Beck","https://www.goodreads.com/author/show/20116344.Beck_Michaels","*","","","","407","pp","3.96","4,827","Jun 03, 2020","Jun 03, 2020","liked it","0","https://www.goodreads.com/review/show/5648268057","0","https://www.goodreads.com/rating/voters/5648268057?resource_type=Review","1","not set","","Jun 27, 2023","ebook","Dec 27, 2020","(Guardians of the Maiden, #1)","https://www.goodreads.com/book/show/52870746-divine-blood","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585754672l/52870746._SY75_.jpg"
"Kingdom of the Cursed","https://www.goodreads.com/book/show/52772417-kingdom-of-the-cursed","Maniscalco, Kerri","https://www.goodreads.com/author/show/14584166.Kerri_Maniscalco","*","1529350506","9781529350500","1529350506","437","pp","4.08","229,149","Oct 05, 2021","Oct 26, 2021","","0","https://www.goodreads.com/review/show/5648267597","0","https://www.goodreads.com/rating/voters/5648267597?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2021","(Kingdom of the Wicked, #2)","https://www.goodreads.com/book/show/52772417-kingdom-of-the-cursed","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613554873l/52772417._SX50_.jpg"
"Ghosts of the Shadow Market","https://www.goodreads.com/book/show/36314220-ghosts-of-the-shadow-market","Clare, Cassandra","https://www.goodreads.com/author/show/150038.Cassandra_Clare","*","1406385379","9781406385373","1406385379","617","pp","4.26","43,504","Jun 04, 2019","Jun 04, 2019","","0","https://www.goodreads.com/review/show/5648265806","0","https://www.goodreads.com/rating/voters/5648265806?resource_type=Review","1","not set","","Jun 27, 2023","Paperback","Dec 27, 2019","","https://www.goodreads.com/book/show/36314220-ghosts-of-the-shadow-market","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541104574l/36314220._SX50_.jpg"
"Welcome to Shadowhunter Academy","https://www.goodreads.com/book/show/22428828-welcome-to-shadowhunter-academy","Clare, Cassandra","https://www.goodreads.com/author/show/150038.Cassandra_Clare","*","1481443143","9781481443142","B00OE2X65G","78","pp","4.09","24,503","Feb 17, 2015","Feb 17, 2015","","0","https://www.goodreads.com/review/show/5648265146","0","https://www.goodreads.com/rating/voters/5648265146?resource_type=Review","1","not set","","Jun 27, 2023","Kindle Edition","Dec 27, 2019","(Tales from the Shadowhunter Academy, #1)","https://www.goodreads.com/book/show/22428828-welcome-to-shadowhunter-academy","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423801226l/22428828._SY75_.jpg"
"The Lost Book of the White","https://www.goodreads.com/book/show/34605974-the-lost-book-of-the-white","Clare, Cassandra","https://www.goodreads.com/author/show/150038.Cassandra_Clare","*","1471162095","9781471162091","1471162095","365","pp","3.95","34,394","Sep 01, 2020","Sep 01, 2020","","0","https://www.goodreads.com/review/show/5648264074","0","https://www.goodreads.com/rating/voters/5648264074?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","(The Eldest Curses, #2)","https://www.goodreads.com/book/show/34605974-the-lost-book-of-the-white","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585851259l/34605974._SY75_.jpg"
"Tales from the Shadowhunter Academy","https://www.goodreads.com/book/show/28954137-tales-from-the-shadowhunter-academy","Clare, Cassandra","https://www.goodreads.com/author/show/150038.Cassandra_Clare","*","1481443259","9781481443258","1481443259","655","pp","4.28","77,939","Nov 15, 2016","Nov 15, 2016","","0","https://www.goodreads.com/review/show/5648263831","0","https://www.goodreads.com/rating/voters/5648263831?resource_type=Review","1","not set","","Jun 27, 2023","Hardcover","Dec 27, 2019","","https://www.goodreads.com/book/show/28954137-tales-from-the-shadowhunter-academy","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454864103l/28954137._SY75_.jpg"
"The Red Scrolls of Magic","https://www.goodreads.com/book/show/30295312-the-red-scrolls-of-magic","Clare, Cassandra","https://www.goodreads.com/author/show/150038.Cassandra_Clare","*","1471162141","9781471162145","1471162141","368","pp","4.08","62,130","Apr 09, 2019","Apr 09, 2019","","0","https://www.goodreads.com/review/show/5648263478","0","https://www.goodreads.com/rating/voters/5648263478?resource_type=Review","1","not set","not set","Jun 27, 2023","Paperback","","(The Eldest Curses, #1)","https://www.goodreads.com/book/show/30295312-the-red-scrolls-of-magic","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528915777l/30295312._SX50_.jpg"
